id,iso_code,continent,location,population,population_density
1,AFG,Asia,Afghanistan,39835428.0,54.422
2,OWID_AFR,,Africa,1373486472.0,
3,ALB,Europe,Albania,2872934.0,104.871
4,DZA,Africa,Algeria,44616626.0,17.348
5,AND,Europe,Andorra,77354.0,163.755
6,AGO,Africa,Angola,33933611.0,23.89
7,AIA,North America,Anguilla,15125.0,
8,ATG,North America,Antigua and Barbuda,98728.0,231.845
9,ARG,South America,Argentina,45605823.0,16.177
10,ARM,Asia,Armenia,2968128.0,102.931
11,ABW,North America,Aruba,107195.0,584.8
12,OWID_ASI,,Asia,4678444992.0,
13,AUS,Oceania,Australia,25788217.0,3.202
14,AUT,Europe,Austria,9043072.0,106.749
15,AZE,Asia,Azerbaijan,10223344.0,119.309
16,BHS,North America,Bahamas,396914.0,39.497
17,BHR,Asia,Bahrain,1748295.0,1935.907
18,BGD,Asia,Bangladesh,166303494.0,1265.036
19,BRB,North America,Barbados,287708.0,664.463
20,BLR,Europe,Belarus,9442867.0,46.858
21,BEL,Europe,Belgium,11632334.0,375.564
22,BLZ,North America,Belize,404915.0,16.426
23,BEN,Africa,Benin,12451031.0,99.11
24,BMU,North America,Bermuda,62092.0,1308.82
25,BTN,Asia,Bhutan,779900.0,21.188
26,BOL,South America,Bolivia,11832936.0,10.202
27,BES,North America,Bonaire Sint Eustatius and Saba,26445.0,
28,BIH,Europe,Bosnia and Herzegovina,3263459.0,68.496
29,BWA,Africa,Botswana,2397240.0,4.044
30,BRA,South America,Brazil,213993441.0,25.04
31,VGB,North America,British Virgin Islands,30423.0,207.973
32,BRN,Asia,Brunei,441532.0,81.347
33,BGR,Europe,Bulgaria,6896655.0,65.18
34,BFA,Africa,Burkina Faso,21497097.0,70.151
35,BDI,Africa,Burundi,12255429.0,423.062
36,KHM,Asia,Cambodia,16946446.0,90.672
37,CMR,Africa,Cameroon,27224262.0,50.885
38,CAN,North America,Canada,38067913.0,4.037
39,CPV,Africa,Cape Verde,561901.0,135.58
40,CYM,North America,Cayman Islands,66498.0,256.496
41,CAF,Africa,Central African Republic,4919987.0,7.479
42,TCD,Africa,Chad,16914985.0,11.833
43,CHL,South America,Chile,19212362.0,24.282
44,CHN,Asia,China,1444216102.0,147.674
