id,country_id,median_age,aged_65_older,aged_70_older
1,1,18.6,2.581,1.337
2,2,,,
3,3,38.0,13.188,8.643
4,4,29.1,6.211,3.857
5,5,,,
6,6,16.8,2.405,1.362
7,7,,,
8,8,32.1,6.933,4.631
9,9,31.9,11.198,7.441
10,10,35.7,11.232,7.571
11,11,41.2,13.085,7.452
12,12,,,
13,13,37.9,15.504,10.129
14,14,44.4,19.202,13.748
15,15,32.4,6.018,3.871
16,16,34.3,8.996,5.2
17,17,32.4,2.372,1.387
18,18,27.5,5.098,3.262
19,19,39.8,14.952,9.473
20,20,40.3,14.799,9.788
21,21,41.8,18.571,12.849
22,22,25.0,3.853,2.279
23,23,18.8,3.244,1.942
24,24,,,
25,25,28.6,4.885,2.977
26,26,25.4,6.704,4.393
27,27,,,
28,28,42.5,16.569,10.711
29,29,25.8,3.941,2.242
30,30,33.5,8.552,5.06
31,31,,,
32,32,32.4,4.591,2.382
33,33,44.7,20.801,13.272
34,34,17.6,2.409,1.358
35,35,17.5,2.562,1.504
36,36,25.6,4.412,2.385
37,37,18.8,3.165,1.919
38,38,41.4,16.984,10.797
39,39,25.7,4.46,3.437
40,40,,,
41,41,18.3,3.655,2.251
42,42,16.7,2.486,1.446
43,43,35.4,11.087,6.938
44,44,38.7,10.641,5.929
45,45,32.2,7.646,4.312
46,46,20.4,2.963,1.726
47,47,19.0,3.402,2.063
48,48,,,
49,49,33.6,9.468,5.694
50,50,18.7,2.933,1.582
51,51,44.0,19.724,13.053
52,52,43.1,14.738,9.719
53,53,41.7,16.367,10.068
54,54,37.3,13.416,8.563
55,55,43.3,19.027,11.58
56,56,17.0,3.02,1.745
57,57,42.3,19.677,12.325
58,58,25.4,4.213,2.38
59,59,,,
60,60,27.6,6.981,4.419
61,61,28.1,7.104,4.458
62,62,25.3,5.159,2.891
63,63,27.6,8.273,5.417
64,64,22.4,2.846,1.752
65,65,19.3,3.607,2.171
66,66,42.7,19.452,13.491
67,67,21.5,3.163,1.845
68,68,19.8,3.526,2.063
69,69,,,
70,70,,,
71,71,,,
72,72,,,
73,73,28.6,6.224,3.284
74,74,42.8,21.228,13.264
75,75,42.0,19.718,13.079
76,76,32.7,7.775,4.593
77,77,23.1,4.45,2.976
78,78,17.5,2.339,1.417
79,79,38.7,14.864,10.244
80,80,46.6,21.453,15.957
81,81,21.1,3.385,1.948
82,82,,,
83,83,45.3,20.396,14.524
84,84,,,
85,85,29.4,7.304,5.021
86,86,22.9,4.694,3.016
87,87,,,
88,88,19.0,3.135,1.733
89,89,19.4,3.002,1.565
90,90,26.3,5.305,2.837
91,91,24.3,4.8,2.954
92,92,,,
93,93,24.9,4.652,2.883
94,94,44.8,16.303,10.158
95,95,43.4,18.577,11.976
96,96,37.3,14.431,9.207
97,97,28.2,5.989,3.414
98,98,29.3,5.319,3.053
99,99,,,
100,100,32.4,5.44,3.182
101,101,20.0,3.186,1.957
102,102,38.7,13.928,8.678
103,103,,,
104,104,30.6,11.733,7.359
105,105,47.9,23.021,16.24
106,106,31.4,9.684,6.39
107,107,48.2,27.049,18.493
108,108,,,
109,109,23.2,3.81,2.361
110,110,30.6,6.991,4.625
111,111,20.0,2.686,1.528
112,112,23.2,3.895,2.21
113,113,,,
114,114,33.7,2.345,1.114
115,115,26.3,4.489,2.882
116,116,24.4,4.029,2.322
117,117,43.9,19.754,14.136
118,118,31.1,8.514,5.43
119,119,22.2,4.506,2.647
120,120,19.2,3.057,1.756
121,121,29.0,4.424,2.816
122,122,,,
123,123,43.5,19.002,13.778
124,124,,,
125,125,,,
126,126,39.7,14.312,9.842
127,127,39.2,9.798,4.991
128,128,19.6,2.929,1.686
129,129,18.1,2.979,1.783
130,130,29.9,6.293,3.407
131,131,30.6,4.12,2.875
132,132,16.4,2.519,1.486
133,133,42.4,19.426,11.324
134,134,,,
135,135,20.3,3.138,1.792
136,136,37.4,10.945,5.884
137,137,29.3,6.857,4.321
138,138,23.0,4.81,2.392
139,139,37.6,10.864,6.955
140,140,,,
141,141,28.6,4.031,2.421
142,142,39.1,14.762,9.395
143,143,,,
144,144,29.6,6.769,4.209
145,145,17.7,3.158,1.87
146,146,29.1,5.732,3.12
147,147,22.0,3.552,2.085
148,148,,,
149,149,25.0,5.809,3.212
150,150,43.2,18.779,11.881
151,151,33.4,9.954,6.489
152,152,37.9,15.322,9.72
153,153,27.3,5.445,3.519
154,154,15.1,2.553,1.378
155,155,18.1,2.751,1.447
156,156,,,
157,157,,,
158,158,39.1,13.26,8.16
159,159,,,
160,160,39.7,16.821,10.813
161,161,,,
162,162,30.7,2.355,1.53
163,163,23.5,4.495,2.78
164,164,,,
165,165,20.4,3.043,1.726
166,166,29.7,7.918,5.03
167,167,22.6,3.808,2.142
168,168,26.5,6.378,3.833
169,169,29.1,7.151,4.455
170,170,25.2,4.803,2.661
171,171,,,
172,172,41.8,16.763,10.202
173,173,46.2,21.502,14.924
174,174,31.9,1.307,0.617
175,175,43.0,17.85,11.69
176,176,39.6,14.178,9.393
177,177,20.3,2.974,1.642
178,178,,,
179,179,,,
180,180,34.9,9.721,6.405
181,181,,,
182,182,31.8,7.724,4.832
183,183,22.0,5.606,3.564
184,184,,,
185,185,18.7,2.886,2.162
186,186,31.9,3.295,1.845
187,187,18.7,3.008,1.796
188,188,41.2,17.366,
189,189,36.2,8.606,5.586
190,190,19.1,2.538,1.285
191,191,42.4,12.922,7.049
192,192,,,
193,193,41.2,15.07,9.167
194,194,44.5,19.062,12.93
195,195,20.8,3.507,2.043
196,196,16.8,2.731,1.496
197,197,27.3,5.344,3.053
198,198,,,
199,199,43.4,13.914,8.622
200,200,19.2,3.441,2.032
201,201,45.5,19.436,13.799
202,202,34.1,10.069,5.331
203,203,19.7,3.548,2.034
204,204,29.6,6.933,4.229
205,205,41.0,19.985,13.433
206,206,43.1,18.436,12.644
207,207,21.7,,2.577
208,208,42.2,,8.353
209,209,23.3,3.466,2.155
210,210,17.7,3.108,1.874
211,211,40.1,11.373,6.89
212,212,18.0,3.556,1.897
213,213,19.4,2.839,1.525
214,214,,,
215,215,22.3,5.82,4.032
216,216,36.2,10.014,5.819
217,217,32.7,8.001,5.075
218,218,31.6,8.153,5.061
219,219,26.9,4.277,2.541
220,220,,,
221,221,,,
222,222,16.4,2.168,1.308
223,223,41.4,16.462,11.133
224,224,34.0,1.144,0.526
225,225,40.8,18.517,12.527
226,226,38.3,15.413,9.732
227,227,,,
228,228,35.6,14.655,10.361
229,229,28.2,4.469,2.873
230,230,23.1,4.394,2.62
231,231,,,
232,232,29.0,6.614,3.915
233,233,32.6,7.15,4.718
234,234,,,
235,235,30.9,8.696,5.355
236,236,20.3,2.922,1.583
237,237,17.7,2.48,1.542
238,238,19.6,2.822,1.882
