id,country_id,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,excess_mortality
1,1,597.029,9.59,64.83,0.511,
2,2,,,,,
3,3,304.195,10.08,78.57,0.795,
4,4,278.364,6.73,76.88,0.748,
5,5,109.135,7.97,83.73,0.868,
6,6,276.045,3.94,61.15,0.581,
7,7,,,81.88,,
8,8,191.511,13.17,77.02,0.778,
9,9,191.032,5.5,76.67,0.845,
10,10,341.01,7.11,75.09,0.776,
11,11,,11.62,76.29,,
12,12,,,,,
13,13,107.791,5.07,83.44,0.944,-0.48
14,14,145.183,6.35,81.54,0.922,
15,15,559.812,7.11,73.0,0.756,
16,16,235.954,13.17,73.92,0.814,
17,17,151.689,16.52,77.29,0.852,
18,18,298.003,8.38,72.59,0.632,
19,19,170.05,13.57,79.19,0.814,
20,20,443.129,5.18,74.79,0.823,
21,21,114.898,4.29,81.63,0.931,
22,22,176.957,17.11,74.62,0.716,
23,23,235.848,0.99,61.77,0.545,
24,24,139.547,13.0,82.59,,
25,25,217.066,9.75,71.78,0.654,
26,26,204.299,6.89,71.51,0.718,
27,27,,,77.79,,
28,28,329.635,10.08,77.4,0.78,
29,29,237.372,4.81,69.59,0.735,
30,30,177.961,8.11,75.88,0.765,
31,31,,13.67,79.07,,
32,32,201.285,12.79,75.86,0.838,
33,33,424.688,5.81,75.05,0.816,-8.84
34,34,269.048,2.42,61.58,0.452,
35,35,293.068,6.05,61.58,0.433,
36,36,270.892,4.0,69.82,0.594,
37,37,244.661,7.2,59.29,0.563,
38,38,105.599,7.37,82.43,0.929,-2.47
39,39,182.219,2.42,72.98,0.665,
40,40,,13.22,83.92,,
41,41,435.727,6.1,53.28,0.397,
42,42,280.995,6.1,54.24,0.398,
43,43,127.993,8.46,80.18,0.851,-3.54
44,44,261.899,9.74,76.91,0.761,
45,45,124.24,7.44,77.29,0.767,
46,46,261.516,11.88,64.32,0.554,
47,47,344.094,7.2,64.57,0.574,
48,48,,,76.25,,
49,49,137.973,8.78,80.28,0.81,
50,50,303.74,2.42,57.78,0.538,
51,51,253.782,5.59,78.49,0.851,
52,52,190.968,8.27,78.8,0.783,
53,53,,11.62,78.88,,
54,54,141.171,9.24,80.98,0.887,-9.99
55,55,227.485,6.82,79.38,0.9,-5.92
56,56,318.949,6.1,60.68,0.48,
57,57,114.767,6.41,80.9,0.94,-7.23
58,58,258.037,6.05,67.11,0.524,
59,59,227.376,11.62,75.0,0.742,
60,60,266.653,8.2,74.08,0.756,
61,61,140.448,5.55,77.01,0.759,2.43
62,62,525.432,17.31,71.99,0.707,
63,63,167.295,8.87,73.32,0.673,
64,64,202.812,7.78,58.74,0.592,
65,65,311.11,6.05,66.32,0.459,
66,66,255.569,4.02,78.74,0.892,
67,67,333.436,3.94,60.19,0.611,
68,68,182.634,7.47,66.6,0.485,
69,69,,,,,
70,70,,,,,
71,71,,,80.67,,
72,72,,,81.44,,
73,73,412.82,14.49,67.44,0.743,
74,74,153.507,5.76,81.91,0.938,
75,75,86.06,4.77,82.66,0.901,
76,76,,22.63,77.66,,
77,77,259.967,7.2,66.47,0.703,
78,78,331.43,1.91,62.05,0.496,
79,79,496.218,7.11,73.77,0.812,
80,80,156.139,8.31,81.33,0.947,
81,81,298.245,4.97,64.07,0.611,
82,82,,,79.93,,
83,83,175.695,4.55,82.24,0.888,
84,84,199.941,2.16,71.7,,
85,85,243.964,10.71,72.4,0.779,
86,86,155.898,10.18,74.3,0.663,
87,87,,,,,
88,88,336.717,2.42,61.6,0.477,
89,89,382.474,2.42,58.32,0.48,
90,90,373.159,11.62,69.91,0.682,
91,91,430.548,6.65,64.0,0.51,
92,92,,,,,
93,93,240.208,7.21,75.27,0.634,
94,94,,8.33,84.86,0.949,
95,95,278.296,7.55,76.88,0.854,
96,96,117.992,5.31,82.99,0.949,
97,97,282.28,10.39,69.66,0.645,
98,98,342.864,6.32,71.72,0.718,
99,99,,,,,
100,100,270.308,9.59,76.68,0.783,
101,101,218.612,8.83,70.6,0.674,
102,102,126.459,3.28,82.3,0.955,-3.89
103,103,,,81.4,,
104,104,93.32,6.74,82.97,0.919,
105,105,113.151,4.78,83.51,0.892,
106,106,206.537,11.28,74.47,0.734,
107,107,79.37,5.72,84.63,0.919,
108,108,,,,,
109,109,208.257,11.75,74.53,0.729,
110,110,466.792,7.11,73.6,0.825,
111,111,218.637,2.92,66.7,0.601,
112,112,434.657,22.66,68.37,0.63,
113,113,,,,,
114,114,132.235,15.84,75.49,0.806,
115,115,436.362,7.11,71.45,0.697,
116,116,368.111,4.0,67.92,0.613,
117,117,350.06,4.91,75.29,0.866,
118,118,266.591,12.71,78.93,0.744,
119,119,405.126,3.94,54.33,0.527,
120,120,272.509,2.42,64.1,0.48,
121,121,341.862,10.43,72.91,0.724,
122,122,,7.77,82.49,0.919,
123,123,342.989,3.67,75.93,0.882,
124,124,,,,,
125,125,,,,,
126,126,128.275,4.42,82.25,0.916,
127,127,,,84.24,,
128,128,405.994,3.94,67.04,0.528,
129,129,227.349,3.94,64.26,0.483,
130,130,260.942,16.74,76.16,0.81,
131,131,164.905,9.19,78.92,0.74,
132,132,268.024,2.42,59.31,0.434,
133,133,168.711,8.83,82.53,0.895,
134,134,557.793,30.53,73.7,0.704,
135,135,232.347,2.42,64.92,0.546,
136,136,224.644,22.02,74.99,0.804,
137,137,152.783,13.06,75.05,0.779,
138,138,454.343,12.02,67.88,0.62,
139,139,408.502,5.72,71.9,0.75,
140,140,,5.46,86.75,,-16.86
141,141,460.043,4.82,69.87,0.737,
142,142,387.305,10.08,76.88,0.829,
143,143,,,74.16,,
144,144,419.146,7.14,76.68,0.686,
145,145,329.942,3.3,60.85,0.456,
146,146,202.104,4.61,67.13,0.583,
147,147,243.811,3.94,63.71,0.646,
148,148,,24.07,59.96,,
149,149,260.797,7.26,70.78,0.602,
150,150,109.361,5.29,82.28,0.944,
151,151,,23.36,77.55,,
152,152,128.797,8.08,82.29,0.931,
153,153,137.016,11.47,74.48,0.66,
154,154,238.339,2.42,62.42,0.394,
155,155,181.013,2.42,54.69,0.539,
156,156,,,73.71,,
157,157,,,,,
158,158,322.688,10.08,75.8,0.774,
159,159,,,,,
160,160,114.316,5.31,82.4,0.957,
161,161,,,,,
162,162,266.342,12.61,77.86,0.813,
163,163,423.031,8.35,67.27,0.557,
164,164,,15.89,73.7,0.826,
165,165,265.91,10.59,74.05,0.708,
166,166,128.346,8.33,78.51,0.815,
167,167,561.494,17.65,64.5,0.555,
168,168,199.128,8.27,74.25,0.728,
169,169,85.755,5.95,76.74,0.777,
170,170,370.437,7.07,71.23,0.718,
171,171,,,,,
172,172,227.331,5.91,78.73,0.88,
173,173,127.842,9.85,82.05,0.864,-8.18
174,174,176.69,16.52,80.23,0.848,7.9
175,175,370.946,9.74,76.05,0.828,
176,176,431.297,6.18,72.58,0.824,-3.33
177,177,191.375,4.28,69.02,0.543,
178,178,,,80.56,,
179,179,,12.84,76.23,0.779,
180,180,204.62,11.62,76.2,0.759,
181,181,,,81.07,,
182,182,252.675,11.62,72.53,0.738,
183,183,348.977,9.21,73.32,0.715,
184,184,,5.64,84.97,,14.04
185,185,270.113,2.42,70.39,0.625,
186,186,259.538,17.72,75.13,0.854,
187,187,241.219,2.42,67.94,0.512,
188,188,439.415,10.08,76.0,0.806,
189,189,242.648,10.55,73.4,0.796,
190,190,325.721,2.42,54.7,0.452,
191,191,92.243,10.99,83.62,0.938,
192,192,,,78.95,,
193,193,287.959,7.29,77.54,0.86,
194,194,153.493,7.25,81.32,0.917,-5.01
195,195,459.78,18.68,73.0,0.567,
196,196,365.769,6.05,57.4,,
197,197,200.38,5.52,64.13,0.709,
198,198,,,,,
199,199,85.998,6.8,83.03,0.916,
200,200,280.775,10.43,57.85,0.433,
201,201,99.403,7.17,83.56,0.904,
202,202,197.093,10.68,76.98,0.782,
203,203,431.388,15.67,65.31,0.51,
204,204,258.314,12.54,71.68,0.738,
205,205,133.982,4.79,82.8,0.945,
206,206,99.739,5.59,83.78,0.955,
207,207,376.264,,72.7,0.567,
208,208,103.957,,80.46,,
209,209,427.698,7.11,71.1,0.668,
210,210,217.288,5.75,65.46,0.529,
211,211,109.861,7.04,77.15,0.777,
212,212,335.346,6.86,69.5,0.606,
213,213,280.033,6.15,61.04,0.515,
214,214,,,81.86,,
215,215,227.49,15.42,70.91,0.725,
216,216,228.467,10.97,73.51,0.796,
217,217,318.991,8.52,76.7,0.74,
218,218,171.285,12.13,77.69,0.82,
219,219,536.783,7.11,68.19,0.715,
220,220,,,80.22,,
221,221,,27.25,67.57,,
222,222,213.333,2.5,63.37,0.544,
223,223,539.849,7.11,72.06,0.779,
224,224,317.84,17.26,77.97,0.89,
225,225,122.137,4.28,81.32,0.932,
226,226,151.089,10.79,78.86,0.926,
227,227,,,,,
228,228,160.708,6.93,77.91,0.817,
229,229,724.417,7.57,71.72,0.72,
230,230,546.3,12.02,70.47,0.609,
231,231,,,75.12,,
232,232,204.85,6.47,72.06,0.711,
233,233,245.465,6.0,75.4,0.704,
234,234,,,79.94,,
235,235,233.07,8.51,72.58,0.737,
236,236,495.003,5.35,66.12,0.47,
237,237,234.499,3.94,63.89,0.584,
238,238,307.846,1.82,61.49,0.571,
